,DATE,WILLREITIND,Index
253,1978/12/20,107.16,.
254,1978/12/21,107.16,.
255,1978/12/22,107.16,.
256,1978/12/25,107.16,.
257,1978/12/26,107.16,.
258,1978/12/27,107.16,.
259,1978/12/28,107.16,.
260,1978/12/29,110.98,110.98
261,1979/1/1,110.98,110.98
262,1979/1/2,110.98,.
263,1979/1/3,110.98,.
264,1979/1/4,110.98,.
265,1979/1/5,110.98,.
266,1979/1/8,110.98,.
267,1979/1/9,110.98,.
268,1979/1/10,110.98,.
269,1979/1/11,110.98,.
270,1979/1/12,110.98,.
271,1979/1/15,110.98,.
272,1979/1/16,110.98,.
273,1979/1/17,110.98,.
274,1979/1/18,110.98,.
275,1979/1/19,110.98,.
276,1979/1/22,110.98,.
277,1979/1/23,110.98,.
278,1979/1/24,110.98,.
279,1979/1/25,110.98,.
280,1979/1/26,110.98,.
281,1979/1/29,110.98,.
282,1979/1/30,110.98,.
283,1979/1/31,118.42,118.42
284,1979/2/1,118.42,118.42
285,1979/2/2,118.42,.
286,1979/2/5,118.42,.
287,1979/2/6,118.42,.
288,1979/2/7,118.42,.
289,1979/2/8,118.42,.
290,1979/2/9,118.42,.
291,1979/2/12,118.42,.
292,1979/2/13,118.42,.
293,1979/2/14,118.42,.
294,1979/2/15,118.42,.
295,1979/2/16,118.42,.
296,1979/2/19,118.42,.
297,1979/2/20,118.42,.
298,1979/2/21,118.42,.
299,1979/2/22,118.42,.
300,1979/2/23,118.42,.
301,1979/2/26,118.42,.
302,1979/2/27,118.42,.
303,1979/2/28,118.3,118.3
304,1979/3/1,118.3,118.3
305,1979/3/2,118.3,.
306,1979/3/5,118.3,.
307,1979/3/6,118.3,.
308,1979/3/7,118.3,.
309,1979/3/8,118.3,.
310,1979/3/9,118.3,.
311,1979/3/12,118.3,.
312,1979/3/13,118.3,.
313,1979/3/14,118.3,.
314,1979/3/15,118.3,.
315,1979/3/16,118.3,.
316,1979/3/19,118.3,.
317,1979/3/20,118.3,.
318,1979/3/21,118.3,.
319,1979/3/22,118.3,.
320,1979/3/23,118.3,.
321,1979/3/26,118.3,.
322,1979/3/27,118.3,.
323,1979/3/28,118.3,.
324,1979/3/29,118.3,.
325,1979/3/30,134.28,134.28
326,1979/4/2,134.28,134.28
327,1979/4/3,134.28,.
328,1979/4/4,134.28,.
329,1979/4/5,134.28,.
330,1979/4/6,134.28,.
331,1979/4/9,134.28,.
332,1979/4/10,134.28,.
333,1979/4/11,134.28,.
334,1979/4/12,134.28,.
335,1979/4/13,134.28,.
336,1979/4/16,134.28,.
337,1979/4/17,134.28,.
338,1979/4/18,134.28,.
339,1979/4/19,134.28,.
340,1979/4/20,134.28,.
341,1979/4/23,134.28,.
342,1979/4/24,134.28,.
343,1979/4/25,134.28,.
344,1979/4/26,134.28,.
345,1979/4/27,134.28,.
346,1979/4/30,135.71,135.71
347,1979/5/1,135.71,135.71
348,1979/5/2,135.71,.
349,1979/5/3,135.71,.
350,1979/5/4,135.71,.
351,1979/5/7,135.71,.
352,1979/5/8,135.71,.
353,1979/5/9,135.71,.
354,1979/5/10,135.71,.
355,1979/5/11,135.71,.
356,1979/5/14,135.71,.
357,1979/5/15,135.71,.
358,1979/5/16,135.71,.
359,1979/5/17,135.71,.
360,1979/5/18,135.71,.
361,1979/5/21,135.71,.
362,1979/5/22,135.71,.
363,1979/5/23,135.71,.
364,1979/5/24,135.71,.
365,1979/5/25,135.71,.
366,1979/5/28,135.71,.
367,1979/5/29,135.71,.
368,1979/5/30,135.71,.
369,1979/5/31,140.09,140.09
370,1979/6/1,140.09,140.09
371,1979/6/4,140.09,.
372,1979/6/5,140.09,.
373,1979/6/6,140.09,.
374,1979/6/7,140.09,.
375,1979/6/8,140.09,.
376,1979/6/11,140.09,.
377,1979/6/12,140.09,.
378,1979/6/13,140.09,.
379,1979/6/14,140.09,.
380,1979/6/15,140.09,.
381,1979/6/18,140.09,.
382,1979/6/19,140.09,.
383,1979/6/20,140.09,.
384,1979/6/21,140.09,.
385,1979/6/22,140.09,.
386,1979/6/25,140.09,.
387,1979/6/26,140.09,.
388,1979/6/27,140.09,.
389,1979/6/28,140.09,.
390,1979/6/29,147.6,147.6
391,1979/7/2,147.6,147.6
392,1979/7/3,147.6,.
393,1979/7/4,147.6,.
394,1979/7/5,147.6,.
395,1979/7/6,147.6,.
396,1979/7/9,147.6,.
397,1979/7/10,147.6,.
398,1979/7/11,147.6,.
399,1979/7/12,147.6,.
400,1979/7/13,147.6,.
401,1979/7/16,147.6,.
402,1979/7/17,147.6,.
403,1979/7/18,147.6,.
404,1979/7/19,147.6,.
405,1979/7/20,147.6,.
406,1979/7/23,147.6,.
407,1979/7/24,147.6,.
408,1979/7/25,147.6,.
409,1979/7/26,147.6,.
410,1979/7/27,147.6,.
411,1979/7/30,147.6,.
412,1979/7/31,152.37,152.37
413,1979/8/1,152.37,152.37
414,1979/8/2,152.37,.
415,1979/8/3,152.37,.
416,1979/8/6,152.37,.
417,1979/8/7,152.37,.
418,1979/8/8,152.37,.
419,1979/8/9,152.37,.
420,1979/8/10,152.37,.
421,1979/8/13,152.37,.
422,1979/8/14,152.37,.
423,1979/8/15,152.37,.
424,1979/8/16,152.37,.
425,1979/8/17,152.37,.
426,1979/8/20,152.37,.
427,1979/8/21,152.37,.
428,1979/8/22,152.37,.
429,1979/8/23,152.37,.
430,1979/8/24,152.37,.
431,1979/8/27,152.37,.
432,1979/8/28,152.37,.
433,1979/8/29,152.37,.
434,1979/8/30,152.37,.
435,1979/8/31,173.03,173.03
436,1979/9/3,173.03,173.03
437,1979/9/4,173.03,.
438,1979/9/5,173.03,.
439,1979/9/6,173.03,.
440,1979/9/7,173.03,.
441,1979/9/10,173.03,.
442,1979/9/11,173.03,.
443,1979/9/12,173.03,.
444,1979/9/13,173.03,.
445,1979/9/14,173.03,.
446,1979/9/17,173.03,.
447,1979/9/18,173.03,.
448,1979/9/19,173.03,.
449,1979/9/20,173.03,.
450,1979/9/21,173.03,.
451,1979/9/24,173.03,.
452,1979/9/25,173.03,.
453,1979/9/26,173.03,.
454,1979/9/27,173.03,.
455,1979/9/28,169.08,169.08
456,1979/10/1,169.08,169.08
457,1979/10/2,169.08,.
458,1979/10/3,169.08,.
459,1979/10/4,169.08,.
460,1979/10/5,169.08,.
461,1979/10/8,169.08,.
462,1979/10/9,169.08,.
463,1979/10/10,169.08,.
464,1979/10/11,169.08,.
465,1979/10/12,169.08,.
466,1979/10/15,169.08,.
467,1979/10/16,169.08,.
468,1979/10/17,169.08,.
469,1979/10/18,169.08,.
470,1979/10/19,169.08,.
471,1979/10/22,169.08,.
472,1979/10/23,169.08,.
473,1979/10/24,169.08,.
474,1979/10/25,169.08,.
475,1979/10/26,169.08,.
476,1979/10/29,169.08,.
477,1979/10/30,169.08,.
478,1979/10/31,151.67,151.67
479,1979/11/1,151.67,151.67
480,1979/11/2,151.67,.
481,1979/11/5,151.67,.
482,1979/11/6,151.67,.
483,1979/11/7,151.67,.
484,1979/11/8,151.67,.
485,1979/11/9,151.67,.
486,1979/11/12,151.67,.
487,1979/11/13,151.67,.
488,1979/11/14,151.67,.
489,1979/11/15,151.67,.
490,1979/11/16,151.67,.
491,1979/11/19,151.67,.
492,1979/11/20,151.67,.
493,1979/11/21,151.67,.
494,1979/11/22,151.67,.
495,1979/11/23,151.67,.
496,1979/11/26,151.67,.
497,1979/11/27,151.67,.
498,1979/11/28,151.67,.
499,1979/11/29,151.67,.
500,1979/11/30,157.57,157.57
501,1979/12/3,157.57,157.57
502,1979/12/4,157.57,.
503,1979/12/5,157.57,.
504,1979/12/6,157.57,.
505,1979/12/7,157.57,.
506,1979/12/10,157.57,.
507,1979/12/11,157.57,.
508,1979/12/12,157.57,.
509,1979/12/13,157.57,.
510,1979/12/14,157.57,.
511,1979/12/17,157.57,.
512,1979/12/18,157.57,.
513,1979/12/19,157.57,.
514,1979/12/20,157.57,.
515,1979/12/21,157.57,.
516,1979/12/24,157.57,.
517,1979/12/25,157.57,.
518,1979/12/26,157.57,.
519,1979/12/27,157.57,.
520,1979/12/28,157.57,.
521,1979/12/31,165.35,165.35
522,1980/1/1,165.35,165.35
523,1980/1/2,165.35,.
524,1980/1/3,165.35,.
525,1980/1/4,165.35,.
526,1980/1/7,165.35,.
527,1980/1/8,165.35,.
528,1980/1/9,165.35,.
529,1980/1/10,165.35,.
530,1980/1/11,165.35,.
531,1980/1/14,165.35,.
532,1980/1/15,165.35,.
533,1980/1/16,165.35,.
534,1980/1/17,165.35,.
535,1980/1/18,165.35,.
536,1980/1/21,165.35,.
537,1980/1/22,165.35,.
538,1980/1/23,165.35,.
539,1980/1/24,165.35,.
540,1980/1/25,165.35,.
541,1980/1/28,165.35,.
542,1980/1/29,165.35,.
543,1980/1/30,165.35,.
544,1980/1/31,179.84,179.84
545,1980/2/1,179.84,179.84
546,1980/2/4,179.84,.
547,1980/2/5,179.84,.
548,1980/2/6,179.84,.
549,1980/2/7,179.84,.
550,1980/2/8,179.84,.
551,1980/2/11,179.84,.
552,1980/2/12,179.84,.
553,1980/2/13,179.84,.
554,1980/2/14,179.84,.
555,1980/2/15,179.84,.
556,1980/2/18,179.84,.
557,1980/2/19,179.84,.
558,1980/2/20,179.84,.
559,1980/2/21,179.84,.
560,1980/2/22,179.84,.
561,1980/2/25,179.84,.
562,1980/2/26,179.84,.
563,1980/2/27,179.84,.
564,1980/2/28,179.84,.
565,1980/2/29,179.08,179.08
566,1980/3/3,179.08,179.08
567,1980/3/4,179.08,.
568,1980/3/5,179.08,.
569,1980/3/6,179.08,.
570,1980/3/7,179.08,.
571,1980/3/10,179.08,.
572,1980/3/11,179.08,.
573,1980/3/12,179.08,.
574,1980/3/13,179.08,.
575,1980/3/14,179.08,.
576,1980/3/17,179.08,.
577,1980/3/18,179.08,.
578,1980/3/19,179.08,.
579,1980/3/20,179.08,.
580,1980/3/21,179.08,.
581,1980/3/24,179.08,.
582,1980/3/25,179.08,.
583,1980/3/26,179.08,.
584,1980/3/27,179.08,.
585,1980/3/28,179.08,.
586,1980/3/31,151.41,151.41
587,1980/4/1,151.41,151.41
588,1980/4/2,151.41,.
589,1980/4/3,151.41,.
590,1980/4/4,151.41,.
591,1980/4/7,151.41,.
592,1980/4/8,151.41,.
593,1980/4/9,151.41,.
594,1980/4/10,151.41,.
595,1980/4/11,151.41,.
596,1980/4/14,151.41,.
597,1980/4/15,151.41,.
598,1980/4/16,151.41,.
599,1980/4/17,151.41,.
600,1980/4/18,151.41,.
601,1980/4/21,151.41,.
602,1980/4/22,151.41,.
603,1980/4/23,151.41,.
604,1980/4/24,151.41,.
605,1980/4/25,151.41,.
606,1980/4/28,151.41,.
607,1980/4/29,151.41,.
608,1980/4/30,159.79,159.79
609,1980/5/1,159.79,159.79
610,1980/5/2,159.79,.
611,1980/5/5,159.79,.
612,1980/5/6,159.79,.
613,1980/5/7,159.79,.
614,1980/5/8,159.79,.
615,1980/5/9,159.79,.
616,1980/5/12,159.79,.
617,1980/5/13,159.79,.
618,1980/5/14,159.79,.
619,1980/5/15,159.79,.
620,1980/5/16,159.79,.
621,1980/5/19,159.79,.
622,1980/5/20,159.79,.
623,1980/5/21,159.79,.
624,1980/5/22,159.79,.
625,1980/5/23,159.79,.
626,1980/5/26,159.79,.
627,1980/5/27,159.79,.
628,1980/5/28,159.79,.
629,1980/5/29,159.79,.
630,1980/5/30,173.19,173.19
631,1980/6/2,173.19,173.19
632,1980/6/3,173.19,.
633,1980/6/4,173.19,.
634,1980/6/5,173.19,.
635,1980/6/6,173.19,.
636,1980/6/9,173.19,.
637,1980/6/10,173.19,.
638,1980/6/11,173.19,.
639,1980/6/12,173.19,.
640,1980/6/13,173.19,.
641,1980/6/16,173.19,.
642,1980/6/17,173.19,.
643,1980/6/18,173.19,.
644,1980/6/19,173.19,.
645,1980/6/20,173.19,.
646,1980/6/23,173.19,.
647,1980/6/24,173.19,.
648,1980/6/25,173.19,.
649,1980/6/26,173.19,.
650,1980/6/27,173.19,.
651,1980/6/30,181.71,181.71
652,1980/7/1,181.71,181.71
653,1980/7/2,181.71,.
654,1980/7/3,181.71,.
655,1980/7/4,181.71,.
656,1980/7/7,181.71,.
657,1980/7/8,181.71,.
658,1980/7/9,181.71,.
659,1980/7/10,181.71,.
660,1980/7/11,181.71,.
661,1980/7/14,181.71,.
662,1980/7/15,181.71,.
663,1980/7/16,181.71,.
664,1980/7/17,181.71,.
665,1980/7/18,181.71,.
666,1980/7/21,181.71,.
667,1980/7/22,181.71,.
668,1980/7/23,181.71,.
669,1980/7/24,181.71,.
670,1980/7/25,181.71,.
671,1980/7/28,181.71,.
672,1980/7/29,181.71,.
673,1980/7/30,181.71,.
674,1980/7/31,202.7,202.7
675,1980/8/1,202.7,202.7
676,1980/8/4,202.7,.
677,1980/8/5,202.7,.
678,1980/8/6,202.7,.
679,1980/8/7,202.7,.
680,1980/8/8,202.7,.
681,1980/8/11,202.7,.
682,1980/8/12,202.7,.
683,1980/8/13,202.7,.
684,1980/8/14,202.7,.
685,1980/8/15,202.7,.
686,1980/8/18,202.7,.
687,1980/8/19,202.7,.
688,1980/8/20,202.7,.
689,1980/8/21,202.7,.
690,1980/8/22,202.7,.
691,1980/8/25,202.7,.
692,1980/8/26,202.7,.
693,1980/8/27,202.7,.
694,1980/8/28,202.7,.
695,1980/8/29,210.14,210.14
696,1980/9/1,210.14,210.14
697,1980/9/2,210.14,.
698,1980/9/3,210.14,.
699,1980/9/4,210.14,.
700,1980/9/5,210.14,.
701,1980/9/8,210.14,.
702,1980/9/9,210.14,.
703,1980/9/10,210.14,.
704,1980/9/11,210.14,.
705,1980/9/12,210.14,.
706,1980/9/15,210.14,.
707,1980/9/16,210.14,.
708,1980/9/17,210.14,.
709,1980/9/18,210.14,.
710,1980/9/19,210.14,.
711,1980/9/22,210.14,.
712,1980/9/23,210.14,.
713,1980/9/24,210.14,.
714,1980/9/25,210.14,.
715,1980/9/26,210.14,.
716,1980/9/29,210.14,.
717,1980/9/30,205.56,205.56
718,1980/10/1,205.56,205.56
719,1980/10/2,205.56,.
720,1980/10/3,205.56,.
721,1980/10/6,205.56,.
722,1980/10/7,205.56,.
723,1980/10/8,205.56,.
724,1980/10/9,205.56,.
725,1980/10/10,205.56,.
726,1980/10/13,205.56,.
727,1980/10/14,205.56,.
728,1980/10/15,205.56,.
729,1980/10/16,205.56,.
730,1980/10/17,205.56,.
731,1980/10/20,205.56,.
732,1980/10/21,205.56,.
733,1980/10/22,205.56,.
734,1980/10/23,205.56,.
735,1980/10/24,205.56,.
736,1980/10/27,205.56,.
737,1980/10/28,205.56,.
738,1980/10/29,205.56,.
739,1980/10/30,205.56,.
740,1980/10/31,228.05,228.05
741,1980/11/3,228.05,228.05
742,1980/11/4,228.05,.
743,1980/11/5,228.05,.
744,1980/11/6,228.05,.
745,1980/11/7,228.05,.
746,1980/11/10,228.05,.
747,1980/11/11,228.05,.
748,1980/11/12,228.05,.
749,1980/11/13,228.05,.
750,1980/11/14,228.05,.
751,1980/11/17,228.05,.
752,1980/11/18,228.05,.
753,1980/11/19,228.05,.
754,1980/11/20,228.05,.
755,1980/11/21,228.05,.
756,1980/11/24,228.05,.
757,1980/11/25,228.05,.
758,1980/11/26,228.05,.
759,1980/11/27,228.05,.
